ROI	Subj1	Subj2	GroupStr	VideoType	Y	Yz
Default	BSCMR008	BSCMR015	B_B	erotic	-0.014529109834575768	-0.014530132305053275
Default	BSCMR008	BSCMR015	B_B	horror	-0.16400463957392653	-0.16549927541598394
Default	BSCMR008	BSCMR015	B_B	neutral	-0.13477213836297988	-0.13559712725469691
Default	BSCMR008	BSCMR017	B_B	erotic	-0.05214003831566825	-0.05218736455349868
Default	BSCMR008	BSCMR017	B_B	horror	0.10156619097067014	0.10191761044849304
Default	BSCMR008	BSCMR017	B_B	neutral	-0.1968899795367293	-0.1994950357420594
Default	BSCMR008	BSCMR018	B_B	erotic	-0.2638323538763451	-0.2702230308166421
Default	BSCMR008	BSCMR018	B_B	horror	0.2256954746714802	0.22964922825815548
Default	BSCMR008	BSCMR018	B_B	neutral	-0.12572403288061595	-0.12639280737008335
Default	BSCMR008	BSCMR019	B_B	erotic	0.1894085410333817	0.19172363037417464
Default	BSCMR008	BSCMR019	B_B	horror	0.04413999521709893	0.04416869533577898
Default	BSCMR008	BSCMR019	B_B	neutral	-0.1372969145855539	-0.13816950785926785
Default	BSCMR008	BSCMR040	B_B	erotic	0.11236198990861793	0.11283846937099509
Default	BSCMR008	BSCMR040	B_B	horror	-0.16284447523482806	-0.16430727548796414
Default	BSCMR008	BSCMR040	B_B	neutral	-0.08229919784641619	-0.08248576511426593
Default	BSCMR008	BSCMR041	B_B	erotic	0.004724158606534324	0.004724193751083017
Default	BSCMR008	BSCMR041	B_B	horror	-0.08869345783975732	-0.08892713165627722
Default	BSCMR008	BSCMR041	B_B	neutral	0.320385642310566	0.3320768049631527
Default	BSCMR008	BSCMR042	B_B	erotic	-0.01948824253719234	-0.019490710256468043
Default	BSCMR008	BSCMR042	B_B	horror	0.25576524208926266	0.26157195025257085
Default	BSCMR008	BSCMR042	B_B	neutral	-0.0860067157851539	-0.0862197303489993
Default	BSCMR008	BSCMR051	B_B	erotic	0.058890364822510394	0.05895858557102841
Default	BSCMR008	BSCMR051	B_B	horror	-0.24558447696932664	-0.250708425192469
Default	BSCMR008	BSCMR051	B_B	neutral	-0.14510507099288988	-0.14613655275124066
Default	BSCMR008	BSCMR063	B_B	erotic	-0.09091891954311042	-0.09117068894520963
Default	BSCMR008	BSCMR063	B_B	horror	0.26289117591716665	0.2692117079971619
Default	BSCMR008	BSCMR063	B_B	neutral	-0.02542303500093607	-0.02542851435538758
Default	BSCMR008	BSCMR066	B_B	erotic	-0.06505478611855514	-0.06514679319625521
Default	BSCMR008	BSCMR066	B_B	horror	0.17104050343078323	0.17273832799559466
Default	BSCMR008	BSCMR066	B_B	neutral	-0.0477175832815729	-0.04775384997414901
Default	BSCMR008	BSCMR069	B_B	erotic	-0.250383125240937	-0.25582152058584845
Default	BSCMR008	BSCMR069	B_B	horror	0.0007372132146782937	0.0007372133482327001
Default	BSCMR008	BSCMR069	B_B	neutral	0.07740347897752106	0.07755861950715542
Default	BSCMR008	BSCMR072	B_B	erotic	0.15487423778532747	0.15613064234346136
Default	BSCMR008	BSCMR072	B_B	horror	-0.2874602691698145	-0.2957955500038507
Default	BSCMR008	BSCMR072	B_B	neutral	-0.020903406287245345	-0.020906451683510647
Default	BSCMR008	BSCMR077	B_B	erotic	0.1159777789893436	0.11650201611577622
Default	BSCMR008	BSCMR077	B_B	horror	-0.011837822936203007	-0.011838375943398621
Default	BSCMR008	BSCMR077	B_B	neutral	-0.03822492266067794	-0.03824355638055402
Default	BSCMR008	BSCMR082	B_B	erotic	0.35497238614431437	0.3711216129090694
Default	BSCMR008	BSCMR082	B_B	horror	-0.04489855492819887	-0.044928761508815404
Default	BSCMR008	BSCMR082	B_B	neutral	0.09697686007627918	0.09728259376676673
Default	BSCMR008	BSCMR083	B_B	erotic	0.23097547234908303	0.23521966824683643
Default	BSCMR008	BSCMR083	B_B	horror	-0.18612003691920284	-0.18831494818901123
Default	BSCMR008	BSCMR083	B_B	neutral	-0.285591378287668	-0.29375950503632936
Default	BSCMR008	BSCMR085	B_B	erotic	-0.20653988968980636	-0.20955433934842388
Default	BSCMR008	BSCMR085	B_B	horror	-0.08654926371676812	-0.08676634725134577
Default	BSCMR008	BSCMR085	B_B	neutral	-0.22391522148127477	-0.22777421614674737
Default	BSCMR008	BSCMR086	B_B	erotic	-0.03231749900310335	-0.032328757080942044
Default	BSCMR008	BSCMR086	B_B	horror	-0.25190849697377193	-0.2574495813816257
Default	BSCMR008	BSCMR086	B_B	neutral	0.21141793978513784	0.21465516564494697
Default	BSCMR008	BSCMR122	B_B	erotic	0.051193981311959166	0.05123877523816769
Default	BSCMR008	BSCMR122	B_B	horror	0.07226370296380216	0.07238988661133333
Default	BSCMR008	BSCMR122	B_B	neutral	-0.3197842432058367	-0.3314067564280886
